age,workClass,fnlwgt,education,educNum,mariStat,occup,relationship,origEthn,sex,capitalGain,capitalLoss,hoursWeek,nativCountry,income,LcapitalGain,LcapitalLoss,ageQ,hoursWeekQ
30,Private,59496,Bachelors,13,Married,Sales,Husband,White,Male,cgLow,None,40,United-States,incLow,7.78655180642871,0,Ag2,HW2
48,Private,149640,HS-grad,9,Married,Blue-Collar,Husband,White,Male,None,None,40,United-States,incLow,0,0,Ag4,HW2
42,Private,116632,Doctorate,16,Married,Professional,Husband,White,Male,None,None,45,United-States,incHigh,0,0,Ag4,HW3
29,Private,105598,HS-Graduate,10,Not-Married,Other-occups,Not-in-family,White,Male,None,None,58,United-States,incLow,0,0,Ag2,HW3
36,Private,155537,HS-grad,9,Married,Blue-Collar,Husband,White,Male,None,None,40,United-States,incLow,0,0,Ag3,HW2
28,Private,183175,HS-Graduate,10,Not-Married,Admin,Not-in-family,White,Female,None,None,40,United-States,incLow,0,0,Ag2,HW2
53,Private,169846,HS-grad,9,Married,Admin,Wife,White,Female,None,None,40,United-States,incHigh,0,0,Ag5,HW2
49,Self-Employed,191681,HS-Graduate,10,Married,White-Collar,Husband,White,Male,None,None,50,United-States,incHigh,0,0,Ag4,HW3
19,Private,101509,HS-Graduate,10,Never-Married,Professional,Own-child,White,Male,None,None,32,United-States,incLow,0,0,Ag1,HW1
31,Private,309974,Bachelors,13,Not-Married,Sales,Own-child,Black,Female,None,None,40,United-States,incLow,0,0,Ag2,HW2
29,Self-Employed,162298,Bachelors,13,Married,Sales,Husband,White,Male,None,None,70,United-States,incHigh,0,0,Ag2,HW3
23,Private,211678,HS-Graduate,10,Never-Married,Blue-Collar,Not-in-family,White,Male,None,None,40,United-States,incLow,0,0,Ag1,HW2
79,Private,124744,HS-Graduate,10,Married,Professional,Other-relative,White,Male,None,None,20,United-States,incLow,0,0,Ag5,HW1
27,Private,213921,HS-grad,9,Never-Married,Service,Own-child,White,Male,None,None,40,Latin-America,incLow,0,0,Ag2,HW2
40,Private,32214,Associates,12,Married,Admin,Husband,White,Male,None,None,40,United-States,incLow,0,0,Ag3,HW2
18,Private,309634,Dropout,7,Never-Married,Service,Own-child,White,Female,None,None,22,United-States,incLow,0,0,Ag1,HW1
31,Other-Govt,125927,Dropout,4,Married,Blue-Collar,Husband,White,Male,None,None,40,United-States,incLow,0,0,Ag2,HW2
18,Private,446839,HS-grad,9,Never-Married,Sales,Not-in-family,White,Male,None,None,30,United-States,incLow,0,0,Ag1,HW1
52,Private,276515,Bachelors,13,Married,Service,Husband,White,Male,None,None,40,Other,incLow,0,0,Ag5,HW2
46,Private,51618,HS-grad,9,Married,Service,Wife,White,Female,None,None,40,United-States,incLow,0,0,Ag4,HW2
59,Private,159937,HS-grad,9,Married,Sales,Husband,White,Male,None,None,48,United-States,incLow,0,0,Ag5,HW3
44,Private,343591,HS-grad,9,Not-Married,Blue-Collar,Not-in-family,White,Female,cgHigh,None,40,United-States,incHigh,9.57115672841547,0,Ag4,HW2
53,Private,346253,HS-grad,9,Not-Married,Sales,Own-child,White,Female,None,None,35,United-States,incLow,0,0,Ag5,HW1
49,Other-Govt,268234,HS-grad,9,Married,Other-occups,Husband,White,Male,None,None,40,United-States,incHigh,0,0,Ag4,HW2
33,Private,202051,Masters,14,Married,Professional,Husband,White,Male,None,None,50,United-States,incLow,0,0,Ag2,HW3
30,Private,54334,Dropout,5,Never-Married,Sales,Not-in-family,White,Male,None,None,40,United-States,incLow,0,0,Ag2,HW2
43,Federal-Govt,410867,Doctorate,16,Never-Married,Professional,Not-in-family,White,Female,None,None,50,United-States,incHigh,0,0,Ag4,HW3
57,Private,249977,Associates,11,Married,Professional,Husband,White,Male,None,None,40,United-States,incLow,0,0,Ag5,HW2
37,Private,286730,HS-Graduate,10,Not-Married,Blue-Collar,Unmarried,White,Female,None,None,40,United-States,incLow,0,0,Ag3,HW2
28,Private,212563,HS-Graduate,10,Not-Married,Blue-Collar,Unmarried,Black,Female,None,None,25,United-States,incLow,0,0,Ag2,HW1
34,Other-Govt,226296,Bachelors,13,Married,Other-occups,Husband,White,Male,None,None,40,United-States,incHigh,0,0,Ag3,HW2
29,Other-Govt,115585,HS-Graduate,10,Never-Married,Blue-Collar,Not-in-family,White,Male,None,None,50,United-States,incLow,0,0,Ag2,HW3
48,Self-Employed,191277,Doctorate,16,Married,Professional,Husband,White,Male,None,clHigh,60,United-States,incHigh,0,7.55118686729615,Ag4,HW3
37,Private,202683,HS-Graduate,10,Married,Sales,Husband,White,Male,None,None,48,United-States,incHigh,0,0,Ag3,HW3
48,Private,171095,Associates,12,Not-Married,White-Collar,Unmarried,White,Female,None,None,40,British-Commonwealth,incLow,0,0,Ag4,HW2
32,Federal-Govt,249409,HS-grad,9,Never-Married,Service,Own-child,Black,Male,None,None,40,United-States,incLow,0,0,Ag2,HW2
76,Private,124191,Masters,14,Married,White-Collar,Husband,White,Male,None,None,40,United-States,incHigh,0,0,Ag5,HW2
44,Private,198282,Bachelors,13,Married,White-Collar,Husband,White,Male,cgHigh,None,60,United-States,incHigh,9.61747075940341,0,Ag4,HW3
47,Self-Employed,149116,Masters,14,Never-Married,Professional,Not-in-family,White,Female,None,None,50,United-States,incLow,0,0,Ag4,HW3
20,Private,188300,HS-Graduate,10,Never-Married,Other-occups,Own-child,White,Female,None,None,40,United-States,incLow,0,0,Ag1,HW2
29,Private,103432,HS-grad,9,Never-Married,Blue-Collar,Not-in-family,White,Male,None,None,40,United-States,incLow,0,0,Ag2,HW2
32,Self-Employed,317660,HS-grad,9,Married,Blue-Collar,Husband,White,Male,cgHigh,None,40,United-States,incHigh,8.94754601503218,0,Ag2,HW2
30,Private,194901,Dropout,7,Never-Married,Blue-Collar,Own-child,White,Male,None,None,40,United-States,incLow,0,0,Ag2,HW2
31,Other-Govt,189265,HS-grad,9,Never-Married,Admin,Not-in-family,White,Female,None,None,40,United-States,incLow,0,0,Ag2,HW2
42,Private,124692,HS-grad,9,Married,Blue-Collar,Husband,White,Male,None,None,40,United-States,incLow,0,0,Ag4,HW2
24,Private,432376,Bachelors,13,Never-Married,Sales,Other-relative,White,Male,None,None,40,United-States,incLow,0,0,Ag1,HW2
38,Private,65324,Prof-School,15,Married,Professional,Husband,White,Male,None,None,40,United-States,incHigh,0,0,Ag3,HW2
56,Self-Employed,335605,HS-grad,9,Married,Service,Husband,White,Male,None,clLow,50,British-Commonwealth,incHigh,0,7.54327334670545,Ag5,HW3
28,Private,377869,HS-Graduate,10,Married,Sales,Wife,White,Female,cgLow,None,25,United-States,incLow,8.31016902198191,0,Ag2,HW1
36,Private,102864,HS-grad,9,Never-Married,Blue-Collar,Own-child,White,Female,None,None,40,United-States,incLow,0,0,Ag3,HW2
53,Private,95647,Dropout,5,Married,Blue-Collar,Husband,White,Male,None,None,50,United-States,incLow,0,0,Ag5,HW3
56,Self-Employed,303090,HS-Graduate,10,Married,Sales,Husband,White,Male,None,None,50,United-States,incLow,0,0,Ag5,HW3
49,Other-Govt,197371,Associates,11,Married,Blue-Collar,Husband,Black,Male,None,None,40,United-States,incHigh,0,0,Ag4,HW2
55,Private,247552,HS-Graduate,10,Married,Sales,Husband,White,Male,None,None,56,United-States,incLow,0,0,Ag5,HW3
22,Private,102632,HS-grad,9,Never-Married,Blue-Collar,Not-in-family,White,Male,None,None,41,United-States,incLow,0,0,Ag1,HW2
21,Private,199915,HS-Graduate,10,Never-Married,Service,Own-child,White,Female,None,None,40,United-States,incLow,0,0,Ag1,HW2
40,Private,118853,Bachelors,13,Married,White-Collar,Husband,White,Male,None,None,60,United-States,incLow,0,0,Ag3,HW3
30,Private,77143,Bachelors,13,Never-Married,White-Collar,Own-child,Black,Male,None,None,40,Euro_1,incLow,0,0,Ag2,HW2
29,Other-Govt,267989,Bachelors,13,Married,Professional,Husband,White,Male,None,None,50,United-States,incHigh,0,0,Ag2,HW3
19,Private,301606,HS-Graduate,10,Never-Married,Service,Own-child,Black,Male,None,None,35,United-States,incLow,0,0,Ag1,HW1
47,Private,287828,Bachelors,13,Married,White-Collar,Wife,White,Female,None,None,40,United-States,incHigh,0,0,Ag4,HW2
20,Private,111697,HS-Graduate,10,Never-Married,Admin,Own-child,White,Female,None,clLow,28,United-States,incLow,0,7.4500795698075,Ag1,HW1
31,Private,114937,Associates,12,Married,Admin,Husband,White,Male,None,None,40,United-States,incHigh,0,0,Ag2,HW2
39,Private,365739,HS-Graduate,10,Not-Married,Blue-Collar,Not-in-family,White,Male,None,None,40,United-States,incLow,0,0,Ag3,HW2
28,Private,69621,Associates,12,Never-Married,Sales,Not-in-family,White,Female,None,None,60,United-States,incLow,0,0,Ag2,HW3
24,Private,43323,HS-grad,9,Never-Married,Service,Not-in-family,White,Female,None,clLow,40,United-States,incLow,0,7.47477218239787,Ag1,HW2
38,Self-Employed,120985,HS-grad,9,Married,Blue-Collar,Husband,White,Male,cgLow,None,35,United-States,incLow,8.38640090116621,0,Ag3,HW1
37,Private,254202,Bachelors,13,Married,Sales,Husband,White,Male,None,None,50,United-States,incLow,0,0,Ag3,HW3
46,Private,146195,Associates,12,Not-Married,Other-occups,Not-in-family,Black,Female,None,None,36,United-States,incLow,0,0,Ag4,HW1
38,Federal-Govt,125933,Masters,14,Married,Professional,Husband,White,Male,None,None,40,Other,incHigh,0,0,Ag3,HW2
43,Self-Employed,56920,HS-grad,9,Married,Blue-Collar,Husband,White,Male,None,None,60,United-States,incLow,0,0,Ag4,HW3
27,Private,163127,Associates,11,Married,Admin,Wife,White,Female,None,None,35,United-States,incLow,0,0,Ag2,HW1
20,Private,34310,HS-Graduate,10,Never-Married,Sales,Own-child,White,Male,None,None,20,United-States,incLow,0,0,Ag1,HW1
49,Private,81973,HS-Graduate,10,Married,Blue-Collar,Husband,Asian,Male,None,None,40,United-States,incHigh,0,0,Ag4,HW2
61,Self-Employed,66614,HS-grad,9,Married,Blue-Collar,Husband,White,Male,None,None,40,United-States,incLow,0,0,Ag5,HW2
27,Private,232782,HS-Graduate,10,Never-Married,Sales,Own-child,White,Female,None,None,40,United-States,incLow,0,0,Ag2,HW2
19,Private,316868,HS-Graduate,10,Never-Married,Service,Own-child,White,Male,None,None,30,Latin-America,incLow,0,0,Ag1,HW1
45,Private,196584,Associates,11,Never-Married,Professional,Not-in-family,White,Female,None,clLow,40,United-States,incHigh,0,7.35564110297425,Ag4,HW2
70,Private,105376,HS-Graduate,10,Never-Married,Other-occups,Other-relative,White,Male,None,None,40,United-States,incLow,0,0,Ag5,HW2
31,Private,185814,HS-grad,9,Never-Married,Blue-Collar,Unmarried,Black,Female,None,None,30,United-States,incLow,0,0,Ag2,HW1
22,Private,175374,HS-Graduate,10,Married,Service,Husband,White,Male,None,None,24,United-States,incLow,0,0,Ag1,HW1
36,Private,108293,HS-grad,9,Widowed,Service,Unmarried,White,Female,None,None,24,United-States,incLow,0,0,Ag3,HW1
64,Private,181232,Dropout,7,Married,Blue-Collar,Husband,White,Male,None,clHigh,40,United-States,incLow,0,7.68708015578313,Ag5,HW2
47,Other-Govt,186009,HS-Graduate,10,Not-Married,Admin,Unmarried,White,Female,None,None,38,Latin-America,incLow,0,0,Ag4,HW1
34,Private,198183,HS-grad,9,Never-Married,Admin,Not-in-family,White,Female,None,None,40,United-States,incLow,0,0,Ag3,HW2
33,Private,163003,Bachelors,13,Never-Married,White-Collar,Other-relative,Asian,Female,None,None,40,SE-Asia,incLow,0,0,Ag2,HW2
21,Private,296158,HS-grad,9,Never-Married,Blue-Collar,Own-child,White,Male,None,None,35,United-States,incLow,0,0,Ag1,HW1
48,Private,187715,HS-grad,9,Married,Blue-Collar,Husband,White,Male,None,None,46,United-States,incLow,0,0,Ag4,HW3
23,Private,214542,Bachelors,13,Never-Married,Blue-Collar,Not-in-family,White,Male,None,None,40,United-States,incLow,0,0,Ag1,HW2
71,Self-Employed,494223,HS-Graduate,10,Not-Married,Sales,Unmarried,Black,Male,None,clLow,2,United-States,incLow,0,7.50494206839617,Ag5,HW1
29,Private,191535,HS-grad,9,Not-Married,Blue-Collar,Not-in-family,White,Male,None,None,60,United-States,incLow,0,0,Ag2,HW3
42,Private,228456,Bachelors,13,Not-Married,Service,Other-relative,Black,Male,None,None,50,United-States,incLow,0,0,Ag4,HW3
25,Private,252752,HS-grad,9,Never-Married,Service,Unmarried,White,Female,None,None,40,United-States,incLow,0,0,Ag1,HW2
44,Self-Employed,78374,Masters,14,Not-Married,White-Collar,Unmarried,Asian,Female,None,None,40,United-States,incLow,0,0,Ag4,HW2
28,Private,88419,HS-grad,9,Never-Married,White-Collar,Not-in-family,Asian,Female,None,None,40,British-Commonwealth,incLow,0,0,Ag2,HW2
45,Self-Employed,201080,Masters,14,Married,Sales,Husband,White,Male,None,None,40,United-States,incHigh,0,0,Ag4,HW2
36,Private,207157,HS-Graduate,10,Not-Married,Service,Unmarried,White,Female,None,None,40,Latin-America,incLow,0,0,Ag3,HW2
39,Federal-Govt,235485,Associates,12,Never-Married,White-Collar,Not-in-family,White,Male,None,None,42,United-States,incLow,0,0,Ag3,HW3
46,Other-Govt,102628,Masters,14,Widowed,Other-occups,Unmarried,White,Male,None,None,40,United-States,incLow,0,0,Ag4,HW2
18,Private,25828,Dropout,7,Never-Married,Blue-Collar,Own-child,White,Male,None,None,16,United-States,incLow,0,0,Ag1,HW1
66,Other-Govt,54826,Associates,11,Widowed,Professional,Not-in-family,White,Female,None,None,20,United-States,incLow,0,0,Ag5,HW1
27,Private,124953,HS-grad,9,Never-Married,Service,Not-in-family,White,Male,None,clHigh,40,United-States,incLow,0,7.59135704669855,Ag2,HW2
28,Other-Govt,175325,HS-grad,9,Married,Other-occups,Husband,White,Male,None,None,40,United-States,incLow,0,0,Ag2,HW2
51,Private,96062,HS-Graduate,10,Married,Sales,Husband,White,Male,None,clHigh,40,United-States,incHigh,0,7.58984151218266,Ag5,HW2
27,Private,428030,Bachelors,13,Never-Married,Blue-Collar,Not-in-family,White,Male,None,None,50,United-States,incLow,0,0,Ag2,HW3
28,Other-Govt,149624,Bachelors,13,Married,Professional,Husband,White,Male,None,None,40,United-States,incHigh,0,0,Ag2,HW2
27,Private,253814,HS-grad,9,Not-Married,Sales,Unmarried,White,Female,None,None,25,United-States,incLow,0,0,Ag2,HW1
21,Private,312956,HS-grad,9,Never-Married,Blue-Collar,Own-child,Black,Male,None,None,40,United-States,incLow,0,0,Ag1,HW2
34,Private,483777,HS-grad,9,Never-Married,Blue-Collar,Not-in-family,Black,Male,None,None,40,United-States,incLow,0,0,Ag3,HW2
18,Private,183930,HS-grad,9,Never-Married,Service,Own-child,White,Male,None,None,12,United-States,incLow,0,0,Ag1,HW1
33,Private,37274,Bachelors,13,Married,Professional,Husband,White,Male,None,None,65,United-States,incLow,0,0,Ag2,HW3
44,Other-Govt,181344,HS-Graduate,10,Married,White-Collar,Husband,Black,Male,None,None,38,United-States,incHigh,0,0,Ag4,HW1
43,Private,114580,HS-Graduate,10,Not-Married,Admin,Not-in-family,White,Female,None,None,40,United-States,incLow,0,0,Ag4,HW2
30,Private,633742,HS-Graduate,10,Never-Married,Blue-Collar,Not-in-family,Black,Male,None,None,45,United-States,incLow,0,0,Ag2,HW3
40,Private,286370,Dropout,4,Married,Blue-Collar,Husband,White,Male,None,None,40,Latin-America,incHigh,0,0,Ag3,HW2
37,Federal-Govt,29054,HS-Graduate,10,Married,Admin,Husband,White,Male,None,None,42,United-States,incHigh,0,0,Ag3,HW3
34,Private,304030,HS-grad,9,Married,Admin,Husband,Black,Male,None,None,40,United-States,incLow,0,0,Ag3,HW2
41,Self-Employed,143129,Bachelors,13,Not-Married,White-Collar,Not-in-family,White,Female,None,None,40,United-States,incLow,0,0,Ag3,HW2
31,Private,99928,Masters,14,Married,Professional,Wife,White,Female,None,None,50,United-States,incLow,0,0,Ag2,HW3
58,Other-Govt,109567,Doctorate,16,Married,Professional,Husband,White,Male,None,None,1,United-States,incHigh,0,0,Ag5,HW1
38,Private,155222,HS-Graduate,10,Not-Married,Blue-Collar,Not-in-family,Black,Female,None,None,28,United-States,incLow,0,0,Ag3,HW1
24,Private,159567,HS-Graduate,10,Married,Blue-Collar,Husband,White,Male,None,None,40,United-States,incLow,0,0,Ag1,HW2
41,Other-Govt,523910,Bachelors,13,Married,Blue-Collar,Husband,Black,Male,None,None,40,United-States,incLow,0,0,Ag3,HW2
47,Private,120939,HS-Graduate,10,Married,Other-occups,Husband,White,Male,None,None,45,United-States,incLow,0,0,Ag4,HW3
41,Federal-Govt,130760,Bachelors,13,Married,Other-occups,Husband,White,Male,None,None,24,United-States,incLow,0,0,Ag3,HW1
23,Private,197387,Dropout,3,Married,Blue-Collar,Other-relative,White,Male,None,None,40,Latin-America,incLow,0,0,Ag1,HW2
36,Private,99374,HS-Graduate,10,Not-Married,Blue-Collar,Not-in-family,White,Male,None,None,40,United-States,incLow,0,0,Ag3,HW2
40,Federal-Govt,56795,Masters,14,Never-Married,White-Collar,Not-in-family,White,Female,cgHigh,None,55,United-States,incHigh,9.55286568031047,0,Ag3,HW3
35,Private,138992,Masters,14,Married,Professional,Other-relative,White,Male,cgLow,None,40,United-States,incHigh,8.89549263145163,0,Ag3,HW2
24,Self-Employed,32921,HS-grad,9,Never-Married,Sales,Not-in-family,White,Male,None,None,40,United-States,incLow,0,0,Ag1,HW2
26,Private,397317,Masters,14,Never-Married,Professional,Not-in-family,White,Female,None,clLow,40,United-States,incLow,0,7.53743003658651,Ag1,HW2
51,Private,259323,Bachelors,13,Married,White-Collar,Husband,White,Male,None,None,50,United-States,incHigh,0,0,Ag5,HW3
42,Other-Govt,254817,HS-Graduate,10,Never-Married,Professional,Not-in-family,White,Female,None,clLow,40,United-States,incLow,0,7.20117088328168,Ag4,HW2
37,Other-Govt,48211,HS-grad,9,Not-Married,Admin,Unmarried,White,Female,None,None,35,United-States,incLow,0,0,Ag3,HW1
18,Private,140164,Dropout,7,Never-Married,Sales,Own-child,White,Female,None,None,40,United-States,incLow,0,0,Ag1,HW2
36,Private,128757,Bachelors,13,Married,Service,Husband,Black,Male,cgLow,None,36,United-States,incHigh,8.89549263145163,0,Ag3,HW1
35,Private,36270,HS-grad,9,Not-Married,Blue-Collar,Not-in-family,White,Male,None,None,60,United-States,incLow,0,0,Ag3,HW3
58,Self-Employed,210563,HS-grad,9,Married,Sales,Wife,White,Female,cgHigh,None,35,United-States,incHigh,9.61747075940341,0,Ag5,HW1
44,Other-Govt,160943,HS-grad,9,Married,Blue-Collar,Husband,Black,Male,None,None,40,United-States,incLow,0,0,Ag4,HW2
37,Private,208358,HS-grad,9,Married,Blue-Collar,Husband,White,Male,None,None,40,United-States,incHigh,0,0,Ag3,HW2
35,Private,153790,HS-Graduate,10,Never-Married,Sales,Not-in-family,Amer-Indian,Female,None,None,40,United-States,incLow,0,0,Ag3,HW2
60,Private,85815,HS-grad,9,Married,Blue-Collar,Husband,Asian,Male,None,None,40,United-States,incLow,0,0,Ag5,HW2
54,Self-Employed,125417,Dropout,4,Married,Blue-Collar,Husband,White,Male,None,None,40,United-States,incHigh,0,0,Ag5,HW2
37,Private,635913,Bachelors,13,Never-Married,White-Collar,Not-in-family,Black,Male,None,None,60,United-States,incHigh,0,0,Ag3,HW3
50,Private,313321,Associates,12,Not-Married,Sales,Not-in-family,White,Female,None,None,40,United-States,incLow,0,0,Ag4,HW2
38,Private,182609,Bachelors,13,Married,Sales,Husband,White,Male,None,None,50,Euro_2,incLow,0,0,Ag3,HW3
45,Private,109434,Bachelors,13,Married,Professional,Husband,White,Male,None,None,55,United-States,incLow,0,0,Ag4,HW3
25,Private,255004,Dropout,6,Never-Married,Blue-Collar,Not-in-family,White,Male,None,None,40,United-States,incLow,0,0,Ag1,HW2
31,Private,197860,HS-Graduate,10,Married,Blue-Collar,Husband,White,Male,None,None,40,United-States,incLow,0,0,Ag2,HW2
90,Private,51744,HS-grad,9,Never-Married,Service,Not-in-family,Black,Male,None,clHigh,40,United-States,incLow,0,7.69938940625674,Ag5,HW2
54,Private,176681,HS-grad,9,Married,Admin,Husband,Black,Male,None,None,20,United-States,incLow,0,0,Ag5,HW1
