"SEXEQ" "FAMIQ" "PCSPQ" "kvunbq" "vienbq" "uemnbq" "xlgnbq" "ylvnbq" "rocnbq" "nptagq" "endetq" "gagetq" "facanq" "lgagtq" "havefq" "jnbjdq" "ageq" "relatq" "qsmoyq" "opgnbq" "moyrvq" "tavepq" "dmvtpq" "boppnq" "itavcq" "RELAT" "AGER" "OPGNBL" "MOYRVL" "TAVEPL" "ENDETL" "GAGETL" "GAGECL" "GAGEML" "KVUNB" "QSMOY" "QCREDL" "DMVTPL" "BOPPNL" "FACANL" "LGAGTL" "VIENB" "VIEMTL" "UEMNB" "XLGNB" "XLGMTL" "YLVNB" "YLVMTL" "ROCNB" "NPTAG" "ITAVCL" "HAVEFL" "JNBJDL" "CARVP"
"5004401" "Shom" "Fcou" "Pint" "K0" "V0" "U1" "X0" "Y1" "R1" "N0" "E1" "G1" "F0" "L0" "H0" "J1" "A0" "R0" "Q2" "O0" "M2" "T2" "D0" "B1" "I1" 26 30 0 3.91202300542815 11.0462443101884 2.30258509299405 11.895340277813 9.64484634886876 11.784028359227 1 8682 3.91202300542815 2.56494935746154 3.43398720448515 0 0 0 0 1 0 0 1 11.0462443101884 7 0 11.0462443101884 0 1.09861228866811 "Coui"
"5013143" "Sfem" "Fseu" "Pcad" "K0" "V0" "U0" "X0" "Y0" "R0" "N0" "E0" "G1" "F0" "L0" "H0" "J1" "A0" "R0" "Q0" "O2" "M0" "T0" "D2" "B0" "I0" 23 30 1.79175946922805 1.79175946922805 0 0 7.14045304310116 7.14045304310116 0 1 505 0.693147180559945 2.83321334405622 1.94591014905531 0 0 0 0 0 0 0 0 0 0 0 7.85049318087114 0 1.6094379124341 "Coui"
"5057209" "Shom" "Fcou" "Pint" "K0" "V0" "U0" "X0" "Y0" "R0" "N0" "E0" "G0" "F1" "L0" "H0" "J2" "A2" "R0" "Q0" "O0" "M0" "T0" "D0" "B0" "I1" 6 53 0 0 0 0 0 0 0 1 -545 0 2.56494935746154 1.09861228866811 11.6699377607519 0 0 0 0 0 0 0 0 0 0 10.0358745405795 0 3.13549421592915 "Coui"
"5065825" "Shom" "Fcou" "Pemp" "K0" "V0" "U0" "X0" "Y0" "R0" "N0" "E1" "G1" "F0" "L0" "H0" "J0" "A0" "R0" "Q2" "O1" "M2" "T0" "D0" "B0" "I1" 3 34 0.693147180559945 3.46573590279973 0 2.07944154167984 10.7380691890837 10.7380691890837 0 1 44206 3.46573590279973 2.56494935746154 1.6094379124341 0 0 0 0 0 0 0 0 0 0 0 10.2169835598809 0 0 "Coui"
"5065986" "Shom" "Fcou" "Pint" "K0" "V0" "U0" "X0" "Y0" "R0" "N0" "E0" "G0" "F0" "L0" "H0" "J0" "A1" "R0" "Q1" "O1" "M0" "T0" "D0" "B0" "I0" 3 39 0.693147180559945 1.38629436111989 0 0 0 0 0 1 4814 1.38629436111989 2.56494935746154 1.94591014905531 0 0 0 0 0 0 0 0 0 0 0 8.8698199525084 0 0 "Coui"
"5070242" "Shom" "Fcou" "Pint" "K0" "V0" "U1" "X0" "Y1" "R0" "N0" "E0" "G0" "F1" "L0" "H0" "J0" "A1" "R0" "Q1" "O0" "M1" "T0" "D0" "B0" "I1" 2 39 0 2.07944154167984 4.61512051684126 0 0 0 0 1 5253 2.07944154167984 2.56494935746154 2.07944154167984 11.5366517571649 0 0 0 1 0 0 1 4.61512051684126 0 0 9.92235837328638 0 0 "Coui"
"5070512" "Shom" "Fcou" "Pint" "K0" "V0" "U0" "X0" "Y0" "R1" "N0" "E0" "G0" "F1" "L0" "H0" "J2" "A1" "R0" "Q0" "O0" "M1" "T0" "D0" "B1" "I1" 1 38 0 2.77258872223978 0 0 0 0 0 1 -171 2.77258872223978 2.56494935746154 3.3322045101752 11.6063156208896 0 0 0 0 0 0 0 0 15 0 9.23863624113103 0 3.04452243772342 "Coui"
"5072065" "Shom" "Fcou" "Pint" "K1" "V0" "U1" "X0" "Y1" "R0" "N0" "E0" "G1" "F1" "L0" "H0" "J1" "A0" "R0" "Q0" "O0" "M0" "T0" "D0" "B0" "I0" 1 35 0 0 4.61512051684126 0 6.07764224334903 6.07764224334903 0 2 -96 0 2.56494935746154 2.07944154167984 9.22847494217167 0 0 0 1 0 0 1 4.61512051684126 0 0 4.61512051684126 0 1.79175946922805 "Coui"
"7558443" "Shom" "Fcou" "Pcad" "K0" "V0" "U1" "X0" "Y1" "R1" "N0" "E1" "G1" "F0" "L1" "H0" "J1" "A1" "R0" "Q2" "O1" "M2" "T1" "D2" "B0" "I1" 27 43 0.693147180559945 4.34380542185368 10.1754974555936 2.39789527279837 12.8914421582943 0 0 1 84186 0 2.77258872223978 1.6094379124341 0 12.8914421582943 0 0 1 0 0 1 10.1754974555936 1 0 11.0511756788508 0 1.38629436111989 "Coui"
"131747" "Shom" "Fcou" "Pint" "K0" "V0" "U2" "X1" "Y2" "R1" "N0" "E0" "G0" "F1" "L0" "H1" "J1" "A2" "R0" "Q2" "O2" "M2" "T2" "D1" "B1" "I2" 66 58 1.09861228866811 3.73766961828337 12.7741383464682 0 0 0 0 1 20537 3.73766961828337 2.70805020110221 3.40119738166216 11.9309842718407 0 0 0 3 1 11.5317668461036 2 12.4334830807341 13 0 13.174652176113 12.0124757604615 0.693147180559945 "Coui"
"158515" "Shom" "Fseu" "Pint" "K0" "V0" "U2" "X1" "Y2" "R1" "N0" "E0" "G0" "F0" "L0" "H0" "J1" "A0" "R1" "Q2" "O0" "M2" "T1" "D1" "B1" "I1" 153 33 0 3.93182563272433 10.2484946916072 0 0 0 0 1 17608 3.93182563272433 2.70805020110221 3.61091791264422 0 0 0 0 3 1 10.2188455878381 2 6.71659477352098 16 0 10.5965097252829 0 2.39789527279837 "Coui"
"458435" "Shom" "Fseu" "Pemp" "K0" "V0" "U0" "X0" "Y0" "R0" "N0" "E0" "G0" "F0" "L0" "H0" "J0" "A0" "R1" "Q1" "O1" "M0" "T0" "D2" "B0" "I1" 110 35 0.693147180559945 1.38629436111989 0 0 0 0 0 1 5000 1.38629436111989 3.29583686600433 0.693147180559945 0 0 0 0 0 0 0 0 0 0 0 9.21044036697652 0 0 "Coui"
"545144" "Shom" "Fcou" "Pint" "K1" "V0" "U1" "X0" "Y1" "R1" "N0" "E1" "G1" "F0" "L1" "H0" "J2" "A1" "R2" "Q2" "O2" "M2" "T1" "D1" "B2" "I1" 235 46 2.07944154167984 4.11087386417331 9.4127913000653 2.70805020110221 13.0388121888701 7.07918439460967 9.78594198868108 2 13368 4.06044301054642 2.70805020110221 4.26267987704132 0 12.9966981084061 0 0 1 0 0 1 9.4127913000653 10 0 10.7606650199178 0 4.02535169073515 "Coui"
"552080" "Sfem" "Fseu" "Pcad" "K0" "V1" "U2" "X1" "Y1" "R1" "N0" "E1" "G1" "F0" "L1" "H1" "J1" "A1" "R1" "Q2" "O0" "M2" "T1" "D1" "B1" "I1" 145 43 0 3.43398720448515 9.59689445519259 3.36729582998647 12.0234590460959 0 0 1 9517 2.39789527279837 2.70805020110221 2.83321334405622 0 12.0234590460959 1 10.6061146562952 2 1 7.60140233458373 1 9.45085221745148 6 0 11.0430178311168 10.6061146562952 1.94591014905531 "Coui"
