"valence" "year" "acousticness" "danceability" "duration" "energy" "instrumentalness" "key" "liveness" "loudness" "mode" "popularity" "speechiness" "tempo" "pop.class"
"83013" 0.902 1973 0.721 0.885 169107 0.463 0.0268 "Eb" 0.0441 -14.637 1 35 0.0527 89.084 "C"
"28299" 0.657 1968 0.583 0.404 182773 0.656 0 "Gb" 0.0883 -7.778 0 46 0.0343 130.551 "B"
"142166" 0.551 1950 0.596 0.64 96118 0.244 0 "C" 0.0787 -16.525 1 0 0.873 84.688 "D"
"83004" 0.346 1973 0.967 0.239 234027 0.246 0.801 "A" 0.113 -16.477 1 33 0.0619 77.4 "C"
"110875" 0.683 1950 0.99 0.714 208477 0.141 0 "C" 0.084 -12.848 1 0 0.15 77.652 "D"
"130036" 0.652 1966 0.796 0.595 165600 0.523 5.12e-06 "B" 0.0902 -13.763 0 21 0.0566 87.347 "C"
"76316" 0.415 1935 0.995 0.557 193019 0.149 0.273 "Gb" 0.46 -16.915 1 0 0.107 107.675 "D"
"140962" 0.932 1930 0.893 0.768 174400 0.363 0.124 "F" 0.193 -10.325 1 0 0.198 95.268 "D"
"26643" 0.0397 1960 0.935 0.384 279373 0.112 0.893 "Bb" 0.106 -19.4 1 31 0.0406 122.089 "C"
"18394" 0.852 2013 0.155 0.629 247960 0.824 0.000628 "A" 0.0651 -6.53 1 71 0.159 128.01 "A"
"97621" 0.15 1964 0.909 0.263 88693 0.114 0.426 "G" 0.336 -16.946 1 21 0.0392 53.969 "C"
"123082" 0.676 2011 7.03e-05 0.53 251093 0.865 2.47e-06 "G" 0.333 -3.87 1 50 0.0745 119.979 "B"
"155419" 0.129 2020 0.00214 0.583 112520 0.573 0 "D" 0.152 -7.396 1 71 0.0348 87.922 "A"
"56086" 0.427 2014 0.126 0.667 198907 0.619 0 "D" 0.101 -4.933 1 62 0.151 169.865 "A"
"42018" 0.966 1944 0.986 0.533 163382 0.216 0.894 "G" 0.156 -13.51 0 0 0.111 67.962 "D"
"31737" 0.847 1986 0.208 0.514 196627 0.87 4.1e-05 "G" 0.524 -6.516 1 55 0.0419 118.962 "B"
"135737" 0.926 1994 0.114 0.842 231000 0.693 0 "C" 0.0691 -9.85 1 33 0.0432 116.456 "C"
"59654" 0.554 1942 0.985 0.552 162760 0.377 0.698 "Bb" 0.167 -9.833 1 0 0.106 71.757 "D"
"77813" 0.737 1947 0.983 0.672 172649 0.197 0.000193 "Gb" 0.174 -8.624 1 0 0.367 89.066 "D"
"165286" 0.735 1993 0.39 0.695 205667 0.698 1.5e-06 "A" 0.2 -9.547 1 30 0.0295 130.445 "C"
"125652" 0.826 1942 0.995 0.717 171508 0.194 0.81 "Gb" 0.156 -11.423 0 0 0.468 71.359 "D"
"152970" 0.833 2007 0.238 0.568 336667 0.837 0.328 "D" 0.0754 -7.744 0 45 0.059 111.186 "B"
"57434" 0.368 1926 0.398 0.77 111766 0.176 0 "Ab" 0.218 -20.146 1 1 0.956 69.236 "D"
"39708" 0.294 1931 0.871 0.722 135300 0.185 0 "Gb" 0.197 -17.443 1 0 0.94 121.31 "D"
"44976" 0.455 1958 0.157 0.487 152587 0.497 0.889 "E" 0.205 -9.532 0 16 0.039 119.176 "D"
"89066" 0.679 2004 0.0134 0.595 258987 0.937 0 "Db" 0.116 -3.196 0 44 0.038 126.995 "B"
"34440" 0.0572 1999 0.557 0.2 606850 0.466 0.702 "A" 0.108 -12.298 1 58 0.0486 136.913 "B"
"56799" 0.801 2017 0.292 0.671 188613 0.724 0 "G" 0.231 -5.61 1 62 0.0244 99.976 "A"
"122946" 0.36 2011 0.000571 0.183 222627 0.984 1.84e-05 "Bb" 0.288 -2.654 0 53 0.186 182.41 "B"
"123547" 0.544 2014 0.302 0.633 211965 0.853 0 "Ab" 0.152 -6.491 1 54 0.389 130.018 "B"
"132918" 0.809 1980 0.234 0.624 275947 0.503 0 "D" 0.165 -12.6 1 27 0.0388 116.615 "C"
"64176" 0.331 1965 0.846 0.386 459133 0.146 0 "Bb" 0.0835 -17.023 1 32 0.0352 168.464 "C"
"20559" 0.876 1929 0.498 0.72 259510 0.2 0 "Gb" 0.373 -18.404 1 0 0.935 115.069 "D"
"104769" 0.526 2000 0.135 0.698 205307 0.76 0.000356 "C" 0.369 -4.42 1 40 0.0374 111.173 "C"
"53264" 0.626 2000 0.403 0.628 215507 0.834 0 "Gb" 0.051 -6.341 0 60 0.0497 97.865 "B"
"55079" 0.426 2009 0.748 0.632 263425 0.371 0.03 "Ab" 0.122 -13.115 1 58 0.0403 153.998 "B"
"94114" 0.651 1947 0.946 0.465 225093 0.261 0.344 "A" 0.282 -15.047 0 0 0.0402 101.726 "D"
"66017" 0.44 1974 0.922 0.418 226760 0.263 0.0199 "A" 0.13 -13.861 1 32 0.0287 85.688 "C"
"16266" 0.849 2003 0.408 0.71 209120 0.797 0 "E" 0.16 -3.006 0 65 0.0582 94.998 "A"
"57486" 0.224 1926 0.992 0.227 254907 0.399 0.000552 "Eb" 0.323 -9.343 1 0 0.0535 63.899 "D"
"94632" 0.623 1949 0.959 0.522 194867 0.229 0.4 "D" 0.147 -15.475 1 0 0.0552 125.553 "D"
"94770" 0.788 1950 0.993 0.578 199160 0.223 0.00173 "A" 0.109 -15.065 1 0 0.0986 127.886 "D"
"74064" 0.481 2015 0.202 0.751 217836 0.547 0 "Db" 0.102 -7.898 1 58 0.138 78.007 "B"
"55412" 0.301 2011 0.496 0.701 248560 0.76 0 "A" 0.0867 -6.561 1 57 0.0512 91.986 "B"
"97066" 0.585 1961 0.86 0.498 245360 0.451 0 "Ab" 0.704 -6.534 1 15 0.307 199.237 "D"
"17847" 0.364 2011 0.255 0.63 218520 0.894 0 "Bb" 0.181 -4.592 1 71 0.0544 142.051 "A"
"110771" 0.712 1949 0.991 0.825 193960 0.174 0.00659 "G" 0.134 -9.067 0 0 0.122 93.299 "D"
"11890" 0.577 1981 0.0962 0.494 113240 0.923 0 "Bb" 0.128 -7.69 0 56 0.182 176.216 "B"
"89431" 0.253 2006 0.526 0.354 212573 0.48 1.63e-06 "Ab" 0.114 -3.897 1 53 0.0319 145.917 "B"
"136671" 0.0806 1999 0.041 0.669 315160 0.411 0.914 "D" 0.109 -11.135 1 40 0.0345 120.06 "C"
"79648" 0.704 1956 0.748 0.527 203989 0.4 0.000211 "Ab" 0.116 -11.542 1 15 0.0293 75.961 "D"
"77016" 0.0691 1941 0.941 0.392 174640 0.0305 8.85e-06 "F" 0.318 -29.18 1 0 0.0817 139.143 "D"
"45521" 0.356 1961 0.834 0.461 514427 0.356 0.629 "C" 0.653 -16.075 1 18 0.036 82.985 "D"
"166685" 0.732 2001 0.482 0.736 209453 0.728 0 "C" 0.118 -7.02 0 44 0.0424 152.346 "B"
"16334" 0.701 2003 9.38e-05 0.522 219267 0.88 0.00111 "F" 0.0812 -4.104 0 60 0.0633 174.762 "B"
"145540" 0.549 1969 0.377 0.374 233000 0.344 3.5e-05 "A" 0.0534 -10.654 1 24 0.0344 169.868 "C"
"96603" 0.594 1959 0.971 0.53 225147 0.247 0.948 "C" 0.131 -13.75 1 16 0.0407 158.425 "D"
"157762" 0.684 1956 0.798 0.622 233000 0.309 0.28 "Gb" 0.0843 -15.596 1 7 0.039 99.514 "D"
"5510" 0.23 1949 0.896 0.335 206907 0.136 0 "B" 0.144 -13.919 1 23 0.0335 99.32 "C"
"56395" 0.0387 2015 0.0822 0.689 232960 0.798 1.47e-05 "Gb" 0.107 -6.156 1 61 0.0717 105.01 "A"
"6341" 0.756 1953 0.922 0.517 120987 0.571 0.171 "Ab" 0.115 -10.623 1 9 0.259 114.361 "D"
"74681" 0.493 2018 0.266 0.81 271067 0.458 0 "E" 0.174 -7.495 0 66 0.105 125.049 "A"
"24548" 0.48 1949 0.961 0.401 173653 0.152 0.931 "C" 0.146 -19.609 1 11 0.036 139.231 "D"
"66291" 0.0645 1976 0.882 0.352 568947 0.0433 0.938 "Bb" 0.0985 -24.963 1 39 0.0309 66.549 "C"
"169204" 0.386 2013 0.00263 0.38 325773 0.537 0.0658 "C" 0.148 -8.183 1 47 0.0383 124.375 "B"
"60724" 0.909 1948 0.909 0.507 202707 0.498 0.87 "Db" 0.118 -8.191 1 0 0.0405 110.474 "D"
"144396" 0.703 1963 0.155 0.457 164400 0.628 6.07e-06 "C" 0.639 -4.985 1 11 0.0325 98.007 "D"
"119281" 0.194 1992 0.795 0.51 160493 0.151 0 "D" 0.158 -17.138 1 42 0.0321 116.079 "B"
"169428" 0.498 2014 0.00152 0.423 246093 0.875 1.2e-06 "Bb" 0.0879 -5.079 1 47 0.0361 80.004 "B"
"77564" 0.487 1946 0.988 0.598 195113 0.199 0.00399 "Eb" 0.16 -8.981 1 0 0.101 71.875 "D"
"14731" 0.632 1995 0.483 0.71 216333 0.545 0 "E" 0.0644 -9.599 1 54 0.0588 140.233 "B"
"96392" 0.641 1958 0.835 0.564 158173 0.359 0 "A" 0.533 -11.296 0 14 0.212 125.689 "D"
"120327" 0.719 1997 0.752 0.641 374573 0.304 0 "F" 0.322 -12.75 1 39 0.489 137.238 "C"
"159322" 0.243 1963 0.837 0.502 149680 0.26 0.894 "E" 0.13 -11.963 0 11 0.0273 85.724 "D"
"122396" 0.527 2008 0.000888 0.722 241200 0.473 0 "B" 0.516 -12.701 0 44 0.265 146.506 "B"
"12600" 0.566 1984 0.164 0.41 266600 0.675 0.000396 "A" 0.103 -9.033 1 46 0.0569 128.495 "B"
"63856" 0.339 1964 0.479 0.545 35893 0.562 8.85e-06 "F" 0.544 -12.911 0 26 0.249 95.28 "C"
"33290" 0.631 1993 0.154 0.84 278053 0.594 0 "Gb" 0.431 -8.46 0 45 0.351 96.345 "B"
"9549" 0.892 1969 0.758 0.685 225040 0.486 0 "Bb" 0.716 -11.898 1 49 0.323 101.539 "B"
"101393" 0.808 1983 0.0408 0.837 340947 0.625 0.000597 "Gb" 0.288 -7.546 0 36 0.0892 120.431 "C"
"67573" 0.81 1982 0.176 0.756 149760 0.664 6.55e-06 "G" 0.287 -12.385 0 32 0.0421 104.613 "C"
"78384" 0.701 1950 0.995 0.579 212387 0.257 0.786 "E" 0.158 -17.043 0 0 0.0869 77.791 "D"
"135727" 0.697 1994 0.022 0.902 210533 0.552 0.000568 "Gb" 0.105 -10.858 1 36 0.234 90.88 "C"
"170277" 0.547 2019 0.0732 0.707 223948 0.462 0 "Db" 0.199 -6.696 1 57 0.117 83.994 "B"
"113781" 0.215 1964 0.88 0.354 185813 0.319 0.000253 "D" 0.169 -11.934 1 19 0.038 77.321 "D"
"107534" 0.507 2014 0.231 0.595 195707 0.763 0 "C" 0.2 -4.991 1 50 0.0661 159.959 "B"
"24284" 0.538 1947 0.511 0.594 382537 0.18 0 "A" 0.157 -19.471 1 0 0.0315 80.719 "D"
"30870" 0.603 1981 0.586 0.793 236333 0.198 0 "D" 0.0734 -14.434 0 50 0.0398 138.153 "B"
"96144" 0.284 1957 0.942 0.229 161000 0.0682 0.000145 "Eb" 0.337 -18.195 1 15 0.0342 76.173 "D"
"26487" 0.239 1959 0.923 0.387 123320 0.0348 0 "F" 0.123 -17.685 1 33 0.0386 138.639 "C"
"143651" 0.74 1957 0.874 0.792 163325 0.252 0 "G" 0.192 -15.681 1 11 0.098 112.93 "D"
"94009" 0.942 1946 0.925 0.75 168587 0.553 0.732 "G" 0.211 -5.012 1 0 0.0498 122.715 "D"
"38033" 0.241 2018 0.434 0.821 187173 0.434 0 "Bb" 0.128 -9.194 0 74 0.118 120.012 "A"
"119812" 0.869 1994 0.61 0.602 102693 0.557 0.000508 "A" 0.6 -11.373 1 36 0.0402 112.341 "C"
"20787" 0.806 1930 0.977 0.235 178556 0.415 0.12 "E" 0.636 -9.77 1 0 0.0485 73.534 "D"
"127065" 0.0357 1951 0.991 0.148 578573 0.0401 0.912 "Db" 0.101 -21.558 1 0 0.0476 178.473 "D"
"166210" 0.674 1998 0.23 0.714 243467 0.523 0.0699 "E" 0.0612 -9.718 1 32 0.028 114.329 "C"
"19628" 0.456 2020 0.191 0.487 232533 0.65 0 "C" 0.0933 -5.195 1 86 0.0253 151.964 "A"
"144988" 0.219 1966 0.974 0.288 242827 0.191 0.0167 "Bb" 0.214 -15.133 1 23 0.0404 67.066 "C"
"34022" 0.185 1997 0.929 0.499 377333 0.0533 0 "A" 0.0942 -18.771 0 55 0.0477 82.97 "B"
"139783" 0.199 2015 0.191 0.379 216000 0.556 0 "D" 0.475 -7.82 0 52 0.31 180.321 "B"
"76183" 0.0348 1935 0.982 0.0603 454827 0.0288 0.969 "G" 0.38 -29.752 1 0 0.0433 47.443 "D"
"77234" 0.795 1942 0.975 0.691 203468 0.255 0.094 "G" 0.107 -14.594 1 0 0.0765 118.036 "D"
"79017" 0.371 1953 0.924 0.416 554533 0.164 0 "C" 0.304 -23.508 1 0 0.102 95.227 "D"
"133719" 0.692 1984 0.025 0.738 220827 0.931 0 "E" 0.0658 -4.675 0 33 0.108 90.61 "C"
"81709" 0.881 1966 0.722 0.668 202000 0.385 0 "C" 0.0913 -15.736 0 27 0.0664 126.678 "C"
"14234" 0.582 1993 0.155 0.726 330945 0.501 0 "Db" 0.0893 -13.884 0 62 0.154 128.099 "A"
"61920" 0.106 1954 0.923 0.169 175640 0.202 0.908 "G" 0.469 -15.168 1 9 0.0322 99.737 "D"
"103063" 0.622 1991 0.38 0.678 323880 0.37 3.5e-05 "F" 0.128 -16.073 1 37 0.0301 121.595 "C"
"88058" 0.287 1999 0.752 0.72 201667 0.322 1.85e-06 "D" 0.228 -10.226 1 54 0.0383 137.98 "B"
"77006" 0.0385 1941 0.962 0.195 700773 0.17 0.832 "F" 0.0906 -19.637 1 0 0.0446 128.465 "D"
"141604" 0.0388 1946 0.989 0.0777 263000 0.143 0.879 "F" 0.231 -18.054 1 1 0.0345 79.987 "D"
"16999" 0.38 2006 0.387 0.403 217747 0.495 8.03e-06 "Bb" 0.147 -6.888 0 64 0.0312 132.912 "A"
"91092" 0.658 2014 0.0135 0.789 183750 0.916 8.09e-06 "C" 0.077 -3.262 1 64 0.249 127.956 "A"
"34054" 0.475 1997 0.0895 0.652 286293 0.471 0 "D" 0.202 -5.102 0 47 0.0329 77.535 "B"
"166829" 0.928 2001 0.431 0.747 211453 0.43 0 "Db" 0.552 -6.04 1 36 0.0717 92.924 "C"
"154618" 0.169 2015 0.966 0.177 111569 0.00232 0.219 "E" 0.0886 -43.191 1 55 0.0426 114.327 "B"
"66881" 0.72 1979 0.191 0.61 264200 0.671 0.00271 "G" 0.0668 -11.086 1 42 0.0402 105.249 "B"
"56863" 0.377 2018 0.00204 0.487 248373 0.9 6.42e-06 "F" 0.11 -4.54 1 67 0.0529 149.959 "A"
"80559" 0.644 1961 0.758 0.61 176760 0.553 1.21e-06 "Bb" 0.601 -4.888 1 18 0.038 118.517 "D"
"105946" 0.503 2006 0.0762 0.541 307933 0.828 3.12e-05 "D" 0.318 -4.048 1 44 0.0417 95.011 "B"
"105068" 0.262 2002 0.92 0.201 234600 0.321 0.0229 "F" 0.0898 -9.109 1 51 0.0273 82.18 "B"
"152949" 0.426 2007 0.177 0.699 211187 0.757 0 "Db" 0.164 -5.99 1 40 0.264 104.941 "C"
"109942" 0.499 1945 0.995 0.531 183113 0.155 0.0681 "F" 0.331 -10.921 0 0 0.103 82.464 "D"
"130114" 0.333 1966 0.207 0.709 120160 0.592 0.707 "B" 0.0863 -12.985 0 18 0.0478 103.823 "D"
"79604" 0.254 1956 0.794 0.281 290000 0.117 0.635 "G" 0.142 -21.076 0 14 0.0346 96.378 "D"
"50430" 0.756 1986 0.294 0.762 347000 0.426 0.456 "G" 0.0404 -15.434 1 38 0.0327 115.602 "C"
"125243" 0.812 1935 0.28 0.725 102000 0.0992 0 "B" 0.344 -18.568 0 0 0.92 83.042 "D"
"144163" 0.641 1961 0.725 0.609 189867 0.371 0.00875 "Ab" 0.0782 -11.982 1 13 0.0346 98.329 "D"
"130063" 0.551 1966 0.352 0.356 154453 0.401 0 "B" 0.0878 -12.167 1 19 0.03 96.264 "D"
"165109" 0.269 1993 0.782 0.614 258867 0.352 1.25e-05 "G" 0.109 -11.684 1 36 0.0276 128.08 "C"
"134134" 0.774 1986 0.238 0.819 175827 0.461 1.15e-06 "B" 0.207 -10.652 1 28 0.0353 122.574 "C"
"25919" 0.932 1956 0.762 0.646 146533 0.291 0 "Db" 0.0838 -12.199 1 24 0.0431 165.006 "C"
"75889" 0.764 1930 0.694 0.644 195667 0.297 0 "E" 0.0783 -11.957 1 0 0.429 98.965 "D"
"47743" 0.406 1972 0.883 0.588 203840 0.261 0.0193 "E" 0.127 -16.489 0 36 0.0301 106.636 "C"
"39731" 0.179 1932 0.992 0.44 188520 0.14 0.36 "D" 0.0872 -12.65 1 0 0.0311 75.778 "D"
"66326" 0.713 1976 0.304 0.531 183133 0.628 0 "D" 0.637 -8.237 1 37 0.0381 123.163 "C"
"106908" 0.578 2011 0.323 0.422 228600 0.405 0 "Gb" 0.15 -11.126 1 57 0.101 74.13 "B"
"93438" 0.668 1940 0.23 0.712 96100 0.163 0 "G" 0.473 -20.3 1 1 0.946 129.12 "D"
"54838" 0.219 2008 0.012 0.544 276147 0.69 0.0095 "Gb" 0.0615 -5.723 0 61 0.0425 123.962 "A"
"167535" 0.487 2005 0.109 0.51 251347 0.798 0 "Db" 0.281 -5.931 0 44 0.364 168.27 "B"
"10167" 0.898 1972 0.259 0.613 208867 0.489 0 "B" 0.0696 -13.509 0 46 0.0503 145.278 "B"
"154805" 0.519 2017 0.25 0.765 181058 0.705 0 "Db" 0.161 -7.059 1 0 0.0447 97.965 "D"
"17428" 0.55 2009 0.000165 0.533 216733 0.955 1.36e-05 "Ab" 0.38 -3.708 1 71 0.0653 107.984 "A"
"149673" 0.508 1990 0.0192 0.371 355173 0.95 0.012 "G" 0.27 -7.588 0 27 0.0681 185.431 "C"
"111028" 0.184 1951 0.966 0.362 142199 0.253 0.000833 "G" 0.206 -12.846 1 0 0.0465 132.393 "D"
"170333" 0.381 2019 0.259 0.369 181140 0.609 4.1e-05 "A" 0.133 -4.477 0 62 0.184 80.362 "A"
"163986" 0.248 1987 0.23 0.596 322169 0.581 0.107 "F" 0.142 -10.532 1 25 0.0365 123.213 "C"
"44920" 0.146 1958 0.923 0.407 259907 0.0421 1.09e-05 "Bb" 0.134 -25.51 1 25 0.036 78.689 "C"
"159051" 0.505 1962 0.672 0.526 356400 0.465 0.0139 "Ab" 0.0931 -12.605 1 11 0.0512 96.383 "D"
"150100" 0.645 1992 0.242 0.755 32867 0.922 0.947 "C" 0.312 -11.346 1 31 0.0496 120.889 "C"
"168136" 0.181 2008 0.146 0.517 221280 0.667 4.1e-06 "Eb" 0.111 -4.928 1 40 0.0293 97.049 "C"
"9152" 0.462 1967 0.199 0.411 186560 0.763 0.00447 "A" 0.329 -6.738 0 54 0.0541 121.57 "B"
"72631" 0.504 2007 0.003 0.756 245520 0.829 3.46e-05 "B" 0.0578 -3.973 1 56 0.0682 120.163 "B"
"156019" 0.635 1945 0.166 0.7 105231 0.132 0.000578 "G" 0.28 -20.892 1 0 0.957 80.265 "D"
"148674" 0.125 1985 0.913 0.401 304093 0.274 0 "E" 0.131 -6.605 0 22 0.0338 143.122 "C"
"56661" 0.243 2017 0.0663 0.588 224107 0.722 0 "Gb" 0.0721 -4.667 1 64 0.0289 145.931 "A"
"8820" 0.764 1966 0.0103 0.505 204480 0.836 0.0771 "F" 0.295 -7.384 0 70 0.101 159.669 "A"
"141716" 0.789 1947 0.947 0.671 172293 0.379 0.359 "Bb" 0.349 -17.668 1 0 0.0477 95.283 "D"
"140213" 0.472 2017 0.167 0.401 201257 0.872 0 "Db" 0.362 -3.641 0 66 0.314 104.592 "A"
"35227" 0.803 2003 0.0427 0.617 347827 0.817 3.34e-06 "B" 0.146 -7.136 1 52 0.0354 159.907 "B"
"21408" 0.915 1933 0.447 0.644 163944 0.74 0 "A" 0.0686 -6.743 1 4 0.158 138.455 "D"
"106372" 0.754 2008 0.0087 0.477 212187 0.951 0 "Ab" 0.121 -2.499 0 46 0.0558 162.956 "B"
"60680" 0.0673 1948 0.761 0.0637 233440 0.0295 0.914 "E" 0.666 -30.257 1 0 0.0395 66.323 "D"
"122751" 0.541 2010 0.012 0.491 296773 0.965 2e-04 "A" 0.0955 -3.378 0 57 0.0678 93.075 "B"
"165328" 0.589 1994 0.0189 0.885 266160 0.419 0 "E" 0.234 -11.927 0 31 0.267 76.931 "C"
"84260" 0.919 1979 0.373 0.489 514867 0.825 0.165 "F" 0.0932 -13.396 0 42 0.0344 108.08 "B"
"16943" 0.512 2006 0.164 0.652 254466 0.809 0 "F" 0.175 -5.276 1 63 0.17 94.786 "A"
"80271" 0.13 1959 0.931 0.214 239862 0.121 0.000511 "G" 0.105 -16.139 1 20 0.0315 83.227 "D"
"76754" 0.902 1939 0.994 0.716 160707 0.347 0.0651 "B" 0.106 -8.192 1 0 0.064 175.11 "D"
"152463" 0.971 2004 0.715 0.769 297494 0.436 0 "G" 0.17 -5.716 1 41 0.0505 119.675 "B"
"100134" 0.593 1977 0.00258 0.296 184667 0.965 7.94e-05 "F" 0.857 -6.303 1 33 0.167 192.754 "C"
"50806" 0.883 1988 0.563 0.702 177773 0.647 4.17e-06 "A" 0.0713 -12.016 0 43 0.054 112.537 "B"
"124137" 0.126 2017 0.239 0.664 271088 0.382 0.00749 "C" 0.0943 -9.977 1 63 0.047 123.214 "A"
"169487" 0.3 2015 0.99 0.421 175093 0.102 0.904 "G" 0.0868 -25.999 0 55 0.0361 110.995 "B"
"103466" 0.646 1993 0.842 0.543 179000 0.677 0.028 "C" 0.0998 -7.841 1 44 0.0395 108.164 "B"
"21628" 0.702 1934 0.991 0.762 204000 0.143 0.385 "Db" 0.117 -15.597 1 0 0.204 119.816 "D"
"149273" 0.835 1988 0.115 0.894 258893 0.428 0 "B" 0.0668 -13.322 1 28 0.24 96.837 "C"
"76347" 0.35 1935 0.875 0.332 167933 0.379 0.233 "A" 0.134 -9.904 0 0 0.0288 125.326 "D"
"123454" 0.243 2018 0.00382 0.56 510469 0.882 0.843 "A" 0.0687 -8.355 0 0 0.0419 127.979 "D"
"95886" 0.154 1956 0.986 0.178 108533 0.0157 0.96 "C" 0.0852 -38.451 1 9 0.0375 67.114 "D"
"132385" 0.966 1978 0.00141 0.331 129293 0.978 7.94e-05 "E" 0.155 -1.626 1 44 0.0397 199.999 "B"
"64050" 0.334 1965 0.686 0.721 143533 0.256 6.42e-05 "C" 0.123 -11.623 1 27 0.0382 98.062 "C"
